"description,category"
"monthly rent payment,needs"
"electricity bill,needs"
"water utility payment,needs"
"gas bill for heating,needs"
"internet service provider fee,needs"
"phone bill payment,needs"
"grocery shopping at supermarket,needs"
"car insurance premium,needs"
"health insurance payment,needs"
"prescription medication,needs"
"public transportation pass,needs"
"gasoline for commute,needs"
"car repair service,needs"
"home repair essential,needs"
"basic clothing purchase,needs"
"work uniform replacement,needs"
"minimum credit card payment,needs"
"student loan payment,needs"
"mortgage monthly installment,needs"
"property tax payment,needs"
"child care expenses,needs"
"baby formula and diapers,needs"
"school supplies for children,needs"
"basic haircut,needs"
"dental checkup and cleaning,needs"
"eye exam appointment,needs"
"prescription glasses,needs"
"veterinary care for pet,needs"
"pet food monthly supply,needs"
"trash collection service,needs"
"sewer service bill,needs"
"essential home maintenance,needs"
"refrigerator repair,needs"
"heating system maintenance,needs"
"water heater repair,needs"
"car registration renewal,needs"
"driver's license renewal,needs"
"basic toiletries purchase,needs"
"laundry detergent and supplies,needs"
"household cleaning supplies,needs"
"toilet paper and tissues,needs"
"first aid supplies,needs"
"over the counter medication,needs"
"urgent care visit copay,needs"
"doctor visit copay,needs"
"essential medication refill,needs"
"work safety equipment,needs"
"basic work tools replacement,needs"
"required textbooks for class,needs"
"winter coat purchase,needs"
"basic winter boots,needs"
"umbrella replacement,needs"
"bus fare for work,needs"
"subway ticket for commute,needs"
"basic cell phone replacement,needs"
"car tire replacement,needs"
"oil change for vehicle,needs"
"basic apartment furniture,needs"
"essential kitchen utensils,needs"
"refrigerator food storage,needs"
"essential vitamins,needs"
"lunch during work day,needs"
"daycare monthly payment,needs"
"after school program fee,needs"
"basic school uniform,needs"
"home insurance premium,needs"
"auto liability insurance,needs"
"renters insurance payment,needs"
"life insurance premium,needs"
"disability insurance payment,needs"
"basic internet package,needs"
"essential car maintenance,needs"
"water filter replacement,needs"
"furnace filter replacement,needs"
"basic phone plan,needs"
"plumbing emergency repair,needs"
"electrical system repair,needs"
"roof leak repair,needs"
"mortgage insurance premium,needs"
"property association fee,needs"
"house tax payment,needs"
"school lunch payment,needs"
"basic kitchen appliance replacement,needs"
"essential bathroom repair,needs"
"basic bedding replacement,needs"
"work parking fee,needs"
"essential home security,needs"
"smoke detector batteries,needs"
"carbon monoxide detector,needs"
"basic computer for work,needs"
"essential software subscription,needs"
"professional license renewal,needs"
"required work certification,needs"
"professional association dues,needs"
"basic business attire,needs"
"required uniform cleaning,needs"
"essential work equipment repair,needs"
"tax preparation fee,needs"
"basic legal document preparation,needs"
"dinner at fancy restaurant,wants"
"movie theater tickets,wants"
"concert admission,wants"
"streaming service subscription,wants"
"video game purchase,wants"
"premium coffee shop drink,wants"
"weekend getaway trip,wants"
"new smartphone upgrade,wants"
"designer clothing purchase,wants"
"spa treatment session,wants"
"fitness gym membership,wants"
"sports event tickets,wants"
"hobby supplies and equipment,wants"
"home decor items,wants"
"premium headphones,wants"
"jewelry purchase,wants"
"tablet device,wants"
"magazine subscription,wants"
"online gaming subscription,wants"
"takeout food delivery,wants"
"premium television package,wants"
"music streaming service,wants"
"luxury cosmetics purchase,wants"
"theme park admission,wants"
"comedy show tickets,wants"
"fancy beauty salon service,wants"
"premium pet grooming,wants"
"cocktails at upscale bar,wants"
"luxury candle purchase,wants"
"premium wine bottle,wants"
"golf course fees,wants"
"collectible item purchase,wants"
"gift for friend,wants"
"souvenir from trip,wants"
"luxury hotel stay,wants"
"premium car rental,wants"
"fancy dessert from bakery,wants"
"adventure sport experience,wants"
"theater play admission,wants"
"music festival tickets,wants"
"premium craft beer,wants"
"professional photography session,wants"
"amusement park tickets,wants"
"premium dog treats,wants"
"artwork purchase,wants"
"book store splurge,wants"
"premium coffee beans,wants"
"specialty food items,wants"
"smart home device,wants"
"high-end kitchen gadget,wants"
"premium streaming movie rental,wants"
"fancy stationery purchase,wants"
"subscription box delivery,wants"
"cooking class registration,wants"
"language learning app subscription,wants"
"weekend brunch with friends,wants"
"lottery tickets purchase,wants"
"premium chocolate assortment,wants"
"specialty bakery items,wants"
"boutique fitness class,wants"
"premium sunglasses,wants"
"luxury skincare products,wants"
"custom phone case,wants"
"vinyl record purchase,wants"
"premium flower arrangement,wants"
"escape room experience,wants"
"drone purchase,wants"
"specialty coffee drink,wants"
"craft cocktail ingredients,wants"
"bicycle accessory upgrade,wants"
"premium pet toy,wants"
"gourmet ice cream shop,wants"
"premium car wash service,wants"
"celebrity chef cookbook,wants"
"boat rental for day,wants"
"premium yoga class,wants"
"virtual reality game,wants"
"luxury throw blanket,wants"
"premium perfume purchase,wants"
"comic book collection addition,wants"
"premium camping gear,wants"
"imported specialty food,wants"
"high-end restaurant tasting menu,wants"
"gaming console accessory,wants"
"meditation app subscription,wants"
"premium water bottle,wants"
"designer eyeglasses frames,wants"
"luxury pen purchase,wants"
"high-end bbq supplies,wants"
"fancy greeting cards,wants"
"professional sports jersey,wants"
"specialty cooking ingredients,wants"
"travel guidebook purchase,wants"
"food processor upgrade,wants"
"bike rental on vacation,wants"
"artisan coffee mug,wants"
"bowling night with friends,wants"
"specialty teas collection,wants"
"premium gardening supplies,wants"
"401k contribution,savings"
"emergency fund deposit,savings"
"stock market investment,savings"
"extra mortgage principal payment,savings"
"high yield savings deposit,savings"
"college fund contribution,savings"
"retirement account deposit,savings"
"mutual fund investment,savings"
"extra debt payment,savings"
"bonds purchase,savings"
"index fund investment,savings"
"dividend stock purchase,savings"
"real estate investment,savings"
"IRA contribution,savings"
"education savings plan,savings"
"down payment savings,savings"
"certificate of deposit opening,savings"
"treasury bond purchase,savings"
"extra car loan payment,savings"
"health savings account contribution,savings"
"brokerage account deposit,savings"
"precious metals investment,savings"
"cryptocurrency investment,savings"
"money market account deposit,savings"
"home down payment fund,savings"
"Roth IRA contribution,savings"
"sinking fund for taxes,savings"
"wedding fund contribution,savings"
"vacation fund deposit,savings"
"future car fund deposit,savings"
"investment property down payment,savings"
"SEP IRA contribution,savings"
"business startup fund,savings"
"children education fund,savings"
"medical expense fund,savings"
"passive income investment,savings"
"early mortgage payoff fund,savings"
"charitable giving fund,savings"
"long term care insurance,savings"
"future home renovation fund,savings"
"dividend reinvestment plan,savings"
"tax advantaged investment,savings"
"extra student loan payment,savings"
"rental property investment,savings"
"REIT investment purchase,savings"
"foreign market investment,savings"
"blue chip stock purchase,savings"
"municipal bond investment,savings"
"gold investment purchase,savings"
"silver investment purchase,savings"
"pension plan contribution,savings"
"annuity investment,savings"
"income property purchase,savings"
"UGMA account deposit,savings"
"investment portfolio rebalancing,savings"
"emergency expense fund,savings"
"futures contract investment,savings"
"financial freedom fund,savings"
"global market ETF purchase,savings"
"fixed income investment,savings"
"small cap fund investment,savings"
"growth stock purchase,savings"
"value stock investment,savings"
"targeted retirement fund,savings"
"capital preservation fund,savings"
"debt consolidation fund,savings"
"inheritance investment,savings"
"bonus investment allocation,savings"
"debt snowball extra payment,savings"
"business expansion investment,savings"
"sabbatical fund deposit,savings"
"investment club contribution,savings"
"early retirement fund,savings"
"major purchase saving,savings"
"employee stock purchase plan,savings"
"franchise investment saving,savings"
"agricultural land investment,savings"
"timber investment,savings"
"art investment purchase,savings"
"collectibles investment,savings"
"zero coupon bond purchase,savings"
"fixed annuity investment,savings"
"variable annuity purchase,savings"
"additional home equity payment,savings"
"investment education seminar,savings"
"venture capital investment,savings"
"angel investor contribution,savings"
"retirement match contribution,savings"
"rainy day fund deposit,savings"
"children inheritance fund,savings"
"estate planning setup,savings"
"financial independence fund,savings"
"trust fund contribution,savings"
"endowment contribution,savings"
"financial freedom milestone,savings"
"after tax investment,savings"
"market dip buying opportunity,savings"
"dividend income portfolio,savings"
"backdoor Roth contribution,savings"
"mega backdoor Roth conversion,savings"
"investment ladder strategy,savings"
